"","Song","Singer","singer gender","genre","Location in Top 100","Location In Playlist","Total Number of Lines","Count Check","prop_type","prop_values"
"843","Minimum","Charlie Cunningham","Male","Fresh Folk",NA,3,36,0,"Woman not talk Men",0
"844","A Closeness","Dermot Kennedy","Male","Fresh Folk",NA,4,44,0,"Woman not talk Men",0
"845","Carry You","Novo Amor","Male","Fresh Folk",NA,5,23,0,"Woman not talk Men",0
"846","Colder Heavens","Blanco White","Male","Fresh Folk",NA,6,39,0,"Woman not talk Men",0
"847","The Meetings of the Waters","Fionn Regan","Male","Fresh Folk",NA,7,40,0,"Woman not talk Men",0
"848","Six Years","A Blaze of Feather","Male","Fresh Folk",NA,8,39,0,"Woman not talk Men",0
"849","You Would Have to Lose Your Mind","The Barr Brothers","Male","Fresh Folk",NA,9,34,0,"Woman not talk Men",0
"850","Silver Lining","Mnt. Joy","Male","Fresh Folk",NA,10,39,0,"Woman not talk Men",0
"851","Lay It On Me","Vance Joy","Male","Fresh Folk",NA,11,33,0,"Woman not talk Men",0
"852","Never Break","Langhorne Slim","Male","Fresh Folk",NA,12,23,0,"Woman not talk Men",0
"853","Horizon","Aldous Harding","Female","Fresh Folk",NA,13,42,0,"Woman not talk Men",0.785714285714286
"854","Bruises","Lewis Capaldi","Male","Fresh Folk",NA,14,41,0,"Woman not talk Men",0
"855","Call it Dreaming","Iron and Wine","Male","Fresh Folk",NA,15,31,0,"Woman not talk Men",0
"856","Little Lies","I'm with Her","Female","Fresh Folk",NA,16,41,0,"Woman not talk Men",0.926829268292683
"857","Only Lonely","The Ballroom Thieves","Both","Fresh Folk",NA,17,52,0,"Woman not talk Men",0.653846153846154
"858","Subterranean Homesick Bluse","Andrew Bird","Male","Fresh Folk",NA,18,71,0,"Woman not talk Men",0
"859","It's A Shame","First Aid Kit","Female","Fresh Folk",NA,19,40,0,"Woman not talk Men",1
"860","Coming Down the Mountain","Mipso","Female","Fresh Folk",NA,20,30,0,"Woman not talk Men",0.966666666666667
"861","At the Purchaser's Option","Rhiannon Gibbons","Female","Fresh Folk",NA,21,44,0,"Woman not talk Men",0.909090909090909
"862","My Arms Were Always Around You","Peter Bradley Adams","Male","Fresh Folk",NA,22,40,0,"Woman not talk Men",0
"863","Ballad of the Dying Man","Father John Misty","Male","Fresh Folk",NA,23,27,0,"Woman not talk Men",0
"864","Thirty","The Weather Station","Female","Fresh Folk",NA,24,66,0,"Woman not talk Men",0.939393939393939
"865","Standing In The Doorway","Hiss Golden Messenger","Male","Fresh Folk",NA,25,36,0,"Woman not talk Men",0
"866","Motion Sickness","Phoebe Bridgers","Female","Fresh Folk",NA,26,35,0,"Woman not talk Men",0.971428571428571
"867","Nobody's Fool","Shakey Graves","Male","Fresh Folk",NA,27,27,0,"Woman not talk Men",0
"868","Blind in the Fray","The Last Revel","Male","Fresh Folk",NA,28,31,0,"Woman not talk Men",0
"869","If We Were Vampires","Jason Isbell","Male","Fresh Folk",NA,29,28,0,"Woman not talk Men",0
"870","Mind On Fire","Aisha Badru","Female","Fresh Folk",NA,30,22,0,"Woman not talk Men",1
"871","Old Church Choir","Zack Williams","Male","Christian Hits",NA,20,38,0,"Woman not talk Men",0
"872","Word of Life","Jeremy Camp","Male","Christian Hits",NA,21,52,0,"Woman not talk Men",0
"873","Gracefully Broken","Matt Redman","Male","Christian Hits",NA,22,107,0,"Woman not talk Men",0.327102803738318
"874","King of the World","Natalie Grant","Female","Christian Hits",NA,23,28,0,"Woman not talk Men",0.142857142857143
"875","The Gospel","Ryan Stevenson","Male","Christian Hits",NA,24,64,0,"Woman not talk Men",0
"876","Bulletproof","Citizen Way","Male","Christian Hits",NA,25,59,0,"Woman not talk Men",0
"877","Take Courage","Kristene Dimarco","Female","Christian Hits",NA,26,35,0,"Woman not talk Men",0.428571428571429
"878","Point to You","We Are Messengers","Male","Christian Hits",NA,27,59,0,"Woman not talk Men",0
"879","The Comeback","Danny Gokey","Male","Christian Hits",NA,28,37,0,"Woman not talk Men",0
"880","In the Name of Love","Kari Jobe","Female","Christian Hits",NA,29,37,0,"Woman not talk Men",0.891891891891892
"881","Control","Tenth Avenue North","Male","Christian Hits",NA,30,67,0,"Woman not talk Men",0
"882","Hills and valleys","Tauren Wells","Male","Christian Hits",NA,1,67,0,"Woman not talk Men",0
"883","What a Beautiful Name","Hillsong Kiev","Female","Christian Hits",NA,2,57,0,"Woman not talk Men",0.175438596491228
"884","Even If","MercyMe","Male","Christian Hits",NA,3,47,0,"Woman not talk Men",0
"885","O Come to the Altar","Elevation Worship","Male","Christian Hits",NA,4,46,0,"Woman not talk Men",0
"886","Wonder","Hillsong United","Female","Christian Hits",NA,5,40,0,"Woman not talk Men",0.725
"887","Chain Breaker","Zack Williams","Male","Christian Hits",NA,6,50,0,"Woman not talk Men",0.72
"888","Home","Chris Tomlin","Female","Christian Hits",NA,7,56,0,"Woman not talk Men",0.910714285714286
"889","I'll Find You","Lecrae","Both","Christian Hits",NA,8,85,0,"Woman not talk Men",0.423529411764706
"890","Broken Things","Matthew West","Male","Christian Hits",NA,9,23,0,"Woman not talk Men",0
"891","Peace Be Still","The Belonging Co","Female","Christian Hits",NA,10,107,0,"Woman not talk Men",0.85981308411215
"892","Death Was Arrested","North Point InsideOut","Male","Christian Hits",NA,11,56,0,"Woman not talk Men",0
"893","I Have This Hope","Tenth Avenue North","Male","Christian Hits",NA,12,40,0,"Woman not talk Men",0
"894","So Will I","100 Billion X","Male","Christian Hits",NA,13,57,0,"Woman not talk Men",0
"895","Throne Room","Kim Walker-Smith","Female","Christian Hits",NA,14,48,0,"Woman not talk Men",0.625
"896","O God Forgive Us","for King and Country","Male","Christian Hits",NA,15,36,0,"Woman not talk Men",0
"897","The Cause of Christ","Kari Jobe","Female","Christian Hits",NA,16,39,0,"Woman not talk Men",0.58974358974359
"898","Reckless Love","Cory Asbury","Male","Christian Hits",NA,17,44,0,"Woman not talk Men",0
"899","Oh My Soul","Casting Crowns","Male","Christian Hits",NA,18,40,0,"Woman not talk Men",0.05
"900","Thy Will","Hillary Scott","Female","Christian Hits",NA,19,47,0,"Woman not talk Men",0.531914893617021
"901","Body like a back road","sam hunt","Male","Hot Country",98,1,17,0,"Woman not talk Men",0
"902","meant to be","bebe rexha","Female","Hot Country",NA,2,45,0,"Woman not talk Men",0.0444444444444444
"903","what ifs","kane brown","Male","Hot Country",NA,3,43,0,"Woman not talk Men",0
"904","unforgettable","thomas rhett","Male","Hot Country",NA,4,49,0,"Woman not talk Men",0
"905","craving you","thomas rhett","Male","Hot Country",NA,5,52,0,"Woman not talk Men",0
"906","all on me","devin dawson","Male","Hot Country",NA,6,55,0,"Woman not talk Men",0
"907","close","ryan kinder","Male","Hot Country",NA,7,42,0,"Woman not talk Men",0
"908","hurricane","luke combs","Male","Hot Country",NA,8,50,0,"Woman not talk Men",0
"909","blue tacoma","russell dickerson","Male","Hot Country",NA,9,66,0,"Woman not talk Men",0
"910","in case you didnt know","brett young","Male","Hot Country",NA,10,44,0,"Woman not talk Men",0
"911","man enough now","chris bandi","Male","Hot Country",NA,11,42,0,"Woman not talk Men",0
"912","small town boy","dustin lynch","Male","Hot Country",NA,12,57,0,"Woman not talk Men",0
"913","i could use a love song","maren morris","Female","Hot Country",NA,13,44,0,"Woman not talk Men",1
"914","getting over you","jackie lee","Male","Hot Country",NA,14,24,0,"Woman not talk Men",0
"915","more girls like you","kip moore","Male","Hot Country",NA,15,38,0,"Woman not talk Men",0
"916","may we all","florida georgia line","Male","Hot Country",NA,16,20,0,"Woman not talk Men",0
"917","losing sleep","chris young","Male","Hot Country",NA,17,41,0,"Woman not talk Men",0
"918","you broke up with me","walker hayes","Male","Hot Country",NA,18,46,0,"Woman not talk Men",0
"919","sunday morning","parMalee","Male","Hot Country",NA,19,40,0,"Woman not talk Men",0
"920","star of the show","thomas rhett","Male","Hot Country",NA,20,37,0,"Woman not talk Men",0
"921","heartache on the dance floor","jon pardi","Male","Hot Country",NA,21,39,0,"Woman not talk Men",0
"922","singles you up","jordan davis","Male","Hot Country",NA,22,37,0,"Woman not talk Men",0
"923","no such thing as a broken heart","old dominion","Male","Hot Country",NA,23,31,0,"Woman not talk Men",0
"924","written in the sand","old dominion","Male","Hot Country",NA,24,21,0,"Woman not talk Men",0
"925","sleep without you","brett young","Male","Hot Country",NA,25,45,0,"Woman not talk Men",0
"926","when it rains it pours","luke combs","Male","Hot Country",NA,26,36,0,"Woman not talk Men",0
"927","happens like that","granger smith","Male","Hot Country",NA,27,42,0,"Woman not talk Men",0
"928","hooked","dylan scott","Male","Hot Country",NA,28,61,0,"Woman not talk Men",0
"929","hometown girl","josh turner","Male","Hot Country",NA,29,29,0,"Woman not talk Men",0
"930","kiss somebody","morgan evans","Male","Hot Country",NA,30,57,0,"Woman not talk Men",0
"931","different now","chastity belt","Female","Ultimate Indie",NA,1,15,0,"Woman not talk Men",1
"932","virtue","kllo","Female","Ultimate Indie",NA,2,45,0,"Woman not talk Men",0.711111111111111
"933","now and then","sjowgren","Female","Ultimate Indie",NA,3,21,0,"Woman not talk Men",0.904761904761905
"934","fallss","bayonne","Male","Ultimate Indie",NA,4,16,0,"Woman not talk Men",0
"935","gold angel","minke","Male","Ultimate Indie",NA,5,24,0,"Woman not talk Men",0
"936","anemone","slenderbodies","Male","Ultimate Indie",NA,6,33,0,"Woman not talk Men",0
"937","dreams tonite","alvvays","Female","Ultimate Indie",NA,7,16,0,"Woman not talk Men",0.875
"938","down the line","beach fossils","Male","Ultimate Indie",NA,8,22,0,"Woman not talk Men",0
"939","goodpain","yoke lore","Male","Ultimate Indie",NA,9,15,0,"Woman not talk Men",0
"940","star roving","slowdive","Male","Ultimate Indie",NA,10,32,0,"Woman not talk Men",0
"941","this time","land of talk","Female","Ultimate Indie",NA,11,22,0,"Woman not talk Men",0.909090909090909
"942","olly","cape francis","Male","Ultimate Indie",NA,12,21,0,"Woman not talk Men",0
"943","begin","shallou","Male","Ultimate Indie",NA,13,25,0,"Woman not talk Men",0
"944","my god has a telephone","the flying stars of brooklyn ny","Female","Ultimate Indie",NA,14,26,0,"Woman not talk Men",1
"945","depths pt 1","yumi zouma","Female","Ultimate Indie",NA,15,20,0,"Woman not talk Men",0.95
"946","live well","palace","Male","Ultimate Indie",NA,16,44,0,"Woman not talk Men",0
"947","chateau","angus & julia stone","Both","Ultimate Indie",NA,17,42,0,"Woman not talk Men",0.142857142857143
"948","appointments","julien baker","Female","Ultimate Indie",NA,18,31,0,"Woman not talk Men",1
"949","going home","twist","Female","Ultimate Indie",NA,19,25,0,"Woman not talk Men",0.64
"950","ancient water","future islands","Male","Ultimate Indie",NA,20,32,0,"Woman not talk Men",0
"951","here if you want","MOSSS","Male","Ultimate Indie",NA,21,18,0,"Woman not talk Men",0
"952","come home","the undercover dream lovers","Male","Ultimate Indie",NA,22,31,0,"Woman not talk Men",0
"953","tell me","bros","Male","Ultimate Indie",NA,23,37,0,"Woman not talk Men",0
"954","darling","real estate","Male","Ultimate Indie",NA,24,17,0,"Woman not talk Men",0
"955","nervous","magic bronson","Male","Ultimate Indie",NA,25,30,0,"Woman not talk Men",0
"956","bike dream","rostam","Male","Ultimate Indie",NA,26,50,0,"Woman not talk Men",0
"957","sheep","mt. dream","Male","Ultimate Indie",NA,27,30,0,"Woman not talk Men",0
"958","die young","sylvan esso","Female","Ultimate Indie",NA,28,45,0,"Woman not talk Men",0.688888888888889
"959","the night we met","lord huron","Male","Ultimate Indie",NA,29,24,0,"Woman not talk Men",0
"960","yam yam","no vacation","Female","Ultimate Indie",NA,30,20,0,"Woman not talk Men",0.9
"961","XO TOUR Llif3","Lil Uzi Vert","Male","RapCaviar",11,1,72,0,"Romantic Gender Neutral",0
"962","Butterfly Effect","Travis Scott","Male","RapCaviar",NA,2,51,0,"Romantic Gender Neutral",0
"963","Slippery","Migos","Male","RapCaviar",NA,3,107,0,"Romantic Gender Neutral",0
"964","Bank Account","21 Savage","Male","RapCaviar",95,4,80,0,"Romantic Gender Neutral",0
"965","Magnolia","Playboi Carti","Male","RapCaviar",NA,5,62,0,"Romantic Gender Neutral",0
"966","Portland","Drake","Male","RapCaviar",NA,6,97,0,"Romantic Gender Neutral",0
"967","Roll in Peace","Kodak Black","Male","RapCaviar",NA,7,98,0,"Romantic Gender Neutral",0
"968","No Complaints","Metro Boomin","Male","RapCaviar",NA,8,102,0,"Romantic Gender Neutral",0
"969","Water","Ugly God","Male","RapCaviar",NA,9,41,0,"Romantic Gender Neutral",0
"970","The Way Life Goes","Lil Uzi Vert","Male","RapCaviar",NA,10,68,0,"Romantic Gender Neutral",0
"971","Unforgettable","French Montana","Male","RapCaviar",8,11,77,0,"Romantic Gender Neutral",0
"972","DNA","Kendrick Lamar","Male","RapCaviar",61,12,100,0,"Romantic Gender Neutral",0
"973","Bodak Yellow","Cardi B","Female","RapCaviar",NA,13,58,0,"Romantic Gender Neutral",0
"974","Drowning","A Boogie Wit da Hoodie","Male","RapCaviar",NA,14,57,0,"Romantic Gender Neutral",0
"975","T-Shirt","Migos","Male","RapCaviar",NA,15,64,0,"Romantic Gender Neutral",0
"976","Plain Jane","A$AP Ferg","Male","RapCaviar",NA,16,56,0,"Romantic Gender Neutral",0
"977","I Get the Bag","Gucci Mane","Male","RapCaviar",NA,17,119,0,"Romantic Gender Neutral",0
"978","Perplexing Pegasus","Rae Sremmurd","Male","RapCaviar",NA,18,52,0,"Romantic Gender Neutral",0
"979","Swang","Rae Sremmurd","Male","RapCaviar",NA,19,51,0,"Romantic Gender Neutral",0
"980","wokeuplikethis*","Playboi Carti","Male","RapCaviar",NA,20,73,0,"Romantic Gender Neutral",0
"981","Rake it Up","Yo Gotti (Ft. Nicki Minaj)","Both","RapCaviar",NA,21,82,0,"Romantic Gender Neutral",0
"982","HUMBLE.","Kendrick Lamar","Male","RapCaviar",6,22,70,0,"Romantic Gender Neutral",0
"983","iSpy","Kyle","Male","RapCaviar",46,23,80,0,"Romantic Gender Neutral",0
"984","Rockstar","Post Malone","Male","RapCaviar",38,24,65,0,"Romantic Gender Neutral",0
"985","Met Gala","Gucci Mane","Male","RapCaviar",NA,25,110,0,"Romantic Gender Neutral",0
"986","Tunnel Vision","Kodak Black","Male","RapCaviar",NA,26,69,0,"Romantic Gender Neutral",0
"987","1-800-273-8266","Logic (Ft. Alessia Cara)","Both","RapCaviar",36,27,93,0,"Romantic Gender Neutral",0.010752688172043
"988","Perfect Pint","Mike WiLL Made-it","Male","RapCaviar",NA,28,65,0,"Romantic Gender Neutral",0
"989","Gyalchester","Drake","Male","RapCaviar",NA,29,42,0,"Romantic Gender Neutral",0
"990","Crew REMIX","Goldlink","Male","RapCaviar",NA,30,75,0,"Romantic Gender Neutral",0
"991","Ahora Dice","Chris Jeday","Male","Trap Land",93,1,92,0,"Romantic Gender Neutral",0
"992","Bodak Yellow","Cardi B (Ft. Messiah)","Both","Trap Land",NA,2,66,0,"Romantic Gender Neutral",0
"993","No Te Hagas","Jory Boy","Male","Trap Land",NA,3,70,0,"Romantic Gender Neutral",0
"994","Pa Ti","Bad Bunny","Male","Trap Land",NA,4,62,0,"Romantic Gender Neutral",0
"995","Krippy Kush","Farruko","Male","Trap Land",NA,5,77,0,"Romantic Gender Neutral",0
"996","Vuelve","Daddy Yankee","Male","Trap Land",NA,6,95,0,"Romantic Gender Neutral",0
"997","47 - Remix","Anuel Aa","Male","Trap Land",NA,7,204,0,"Romantic Gender Neutral",0
"998","Doble Personalidad","Trap Capos","Male","Trap Land",NA,8,79,0,"Romantic Gender Neutral",0
"999","Lo Siento","Kaydy Cain","Male","Trap Land",NA,9,79,0,"Romantic Gender Neutral",0
"1000","Ahora Me Llama","Karol G","Both","Trap Land",NA,10,61,0,"Romantic Gender Neutral",0
"1001","Nunca Me Amo","Jon Z","Male","Trap Land",NA,11,69,0,"Romantic Gender Neutral",0
"1002","Me Llueven","Mark B","Male","Trap Land",NA,12,86,0,"Romantic Gender Neutral",0
"1003","Male Mujer","C. Tangana","Male","Trap Land",NA,13,49,0,"Romantic Gender Neutral",0
"1004","Angel y Diabla","Hadrian","Male","Trap Land",NA,14,52,0,"Romantic Gender Neutral",0
"1005","Haters - Remix","J Alvarez","Male","Trap Land",NA,15,127,0,"Romantic Gender Neutral",0
"1006","Que Tengo Que Hacer","Lary Over","Male","Trap Land",NA,16,58,0,"Romantic Gender Neutral",0
"1007","Chambea","Bad Bunny","Male","Trap Land",NA,17,51,0,"Romantic Gender Neutral",0
"1008","Sexto Sentido","Gigolo Y la Exce","Male","Trap Land",NA,18,63,0,"Romantic Gender Neutral",0
"1009","Loca","Cazzu (Ft. Khea)","Both","Trap Land",NA,19,79,0,"Romantic Gender Neutral",0
"1010","Luna Llena","Paulo Londra","Male","Trap Land",NA,20,65,0,"Romantic Gender Neutral",0
"1011","Todo Poderoso","Almigthy","Male","Trap Land",NA,21,89,0,"Romantic Gender Neutral",0
"1012","Por Ti","Fuego","Male","Trap Land",NA,22,51,0,"Romantic Gender Neutral",0
"1013","Demasiao Tarde","C. Tangana","Male","Trap Land",NA,23,78,0,"Romantic Gender Neutral",0
"1014","Amigos y Enemigos","Trap Capos","Male","Trap Land",NA,24,122,0,"Romantic Gender Neutral",0
"1015","Sensualidad","Bad Bunny","Male","Trap Land",NA,25,75,0,"Romantic Gender Neutral",0
"1016","Explicale","Yandel","Male","Trap Land",NA,26,76,0,"Romantic Gender Neutral",0
"1017","GPS","Maluma","Male","Trap Land",NA,27,72,0,"Romantic Gender Neutral",0
"1018","Diabla","Farruko","Male","Trap Land",NA,28,63,0,"Romantic Gender Neutral",0
"1019","Viajo sin ver","Jon Z","Male","Trap Land",NA,29,90,0,"Romantic Gender Neutral",0
"1020","Stripper","Andy Rivera","Male","Trap Land",NA,30,72,0,"Romantic Gender Neutral",0
"1021","I feel it still","Portugal. The Man.","Male","Rock This",NA,1,46,0,"Romantic Gender Neutral",0.0652173913043478
"1022","Lights Out","Royal Blood","Male","Rock This",NA,2,34,0,"Romantic Gender Neutral",0.323529411764706
"1023","The Sky Is A Neighborhood","Foo Fighters","Male","Rock This",NA,3,72,0,"Romantic Gender Neutral",0.0833333333333333
"1024","The Way You Used To Do","Queens of The Stone Age","Male","Rock This",NA,4,39,0,"Romantic Gender Neutral",0.384615384615385
"1025","Rx","A Theory of A Deadman","Male","Rock This",NA,5,75,0,"Romantic Gender Neutral",0.0133333333333333
"1026","Highway Tune","Greta Van Fleet","Male","Rock This",NA,6,37,0,"Romantic Gender Neutral",0.405405405405405
"1027","Young Lady You're Scaring Me","Ron Gallo","Male","Rock This",NA,7,23,0,"Romantic Gender Neutral",0.0869565217391304
"1028","Jungle","Tash Sultana","Female","Rock This",NA,8,45,0,"Romantic Gender Neutral",0.155555555555556
"1029","Legendary","Welshly Arms","Male","Rock This",NA,9,52,0,"Romantic Gender Neutral",0
"1030","Little One","Highly Suspect","Male","Rock This",NA,10,32,0,"Romantic Gender Neutral",0.03125
"1031","Go To War","Nothing More","Male","Rock This",NA,11,67,0,"Romantic Gender Neutral",0
"1032","Freeze Me","Death From Above 1979","Male","Rock This",NA,12,20,0,"Romantic Gender Neutral",0
"1033","Come Together","Gary Clark Jr.","Male","Rock This",NA,13,20,0,"Romantic Gender Neutral",0
"1034","No Good","Kaleo","Male","Rock This",NA,14,54,0,"Romantic Gender Neutral",0.240740740740741
"1035","Love Is Mystical","Cold War Kids","Male","Rock This",NA,15,55,0,"Romantic Gender Neutral",0.163636363636364
"1036","The Man","The Killers","Male","Rock This",NA,16,60,0,"Romantic Gender Neutral",0
"1037","Walk On Water","Thirty Seconds to Mars","Male","Rock This",NA,17,55,0,"Romantic Gender Neutral",0
"1038","Believer","Imagine Dragons","Male","Rock This",20,18,52,0,"Romantic Gender Neutral",0
"1039","Cold Cold Cold","Cage The Elephant","Male","Rock This",NA,19,34,0,"Romantic Gender Neutral",0
"1040","Sorry","Nothing But Thieves","Male","Rock This",NA,20,44,0,"Romantic Gender Neutral",0.204545454545455
"1041","It's A Trip","Joywave","Male","Rock This",NA,21,41,0,"Romantic Gender Neutral",0
"1042","Cocoon","Milky Chance","Male","Rock This",NA,22,59,0,"Romantic Gender Neutral",0.423728813559322
"1043","Reverend","Kings Of Leon","Male","Rock This",NA,23,31,0,"Romantic Gender Neutral",0.451612903225806
"1044","One More Light","Linkin Park","Male","Rock This",NA,24,36,0,"Romantic Gender Neutral",0.0277777777777778
"1045","Sweet Desaster","Dreamers","Male","Rock This",NA,25,38,0,"Romantic Gender Neutral",0
"1046","Roman Sky","Avenged Sevenfold","Male","Rock This",NA,26,15,0,"Romantic Gender Neutral",0
"1047","Vacation","The Dirty Heads","Male","Rock This",NA,27,61,0,"Romantic Gender Neutral",0
"1048","We Fight","Dashboard Confessional","Male","Rock This",NA,28,62,0,"Romantic Gender Neutral",0
"1049","Get Right","Jimmy Eat World","Male","Rock This",NA,29,24,0,"Romantic Gender Neutral",0
"1050","American Soul","U2","Male","Rock This",NA,30,61,0,"Romantic Gender Neutral",0
"1051","DNA","BTS","Male","K-Pop",NA,1,62,0,"Romantic Gender Neutral",0.564516129032258
"1052","Bang Bang Bang","BigBang","Male","K-Pop",NA,2,73,0,"Romantic Gender Neutral",0.0273972602739726
"1053","As If It's Your Last","BlackPink","Female","K-Pop",NA,3,61,0,"Romantic Gender Neutral",0.60655737704918
"1054","Stay With Me","Chanyeol","Male","K-Pop",NA,4,50,0,"Romantic Gender Neutral",0.76
"1055","Ko Ko Bop","Exo","Male","K-Pop",NA,5,55,0,"Romantic Gender Neutral",0.0909090909090909
"1056","Blood Sweat Tears","BTS","Male","K-Pop",NA,6,60,0,"Romantic Gender Neutral",0.233333333333333
"1057","Boombayah","BlackPink","Female","K-Pop",NA,7,71,0,"Romantic Gender Neutral",0
"1058","FXXK It","BigBang","Male","K-Pop",NA,8,109,0,"Romantic Gender Neutral",0.0825688073394495
"1059","Monster","Exo","Male","K-Pop",NA,9,72,0,"Romantic Gender Neutral",0.208333333333333
"1060","Beautiful","Crush","Male","K-Pop",NA,10,42,0,"Romantic Gender Neutral",0.0714285714285714
"1061","Spring Day","BTS","Male","K-Pop",NA,11,84,0,"Romantic Gender Neutral",0.166666666666667
"1062","Playing With Fire","BlackPink","Female","K-Pop",NA,12,51,0,"Romantic Gender Neutral",0.156862745098039
"1063","Really Really","Winner","Male","K-Pop",NA,13,76,0,"Romantic Gender Neutral",0.210526315789474
"1064","Don't Recall","Kard","Both","K-Pop",NA,14,64,0,"Romantic Gender Neutral",0.0625
"1065","Don't Want To Cry","Seventeen","Male","K-Pop",NA,15,41,0,"Romantic Gender Neutral",0.0975609756097561
"1066","Not Today","BTS","Male","K-Pop",NA,16,21,0,"Romantic Gender Neutral",0
"1067","Whistle","BlackPink","Female","K-Pop",NA,17,72,0,"Romantic Gender Neutral",0.0277777777777778
"1068","Oh NaNa","Kard","Both","K-Pop",NA,18,69,0,"Romantic Gender Neutral",0.36231884057971
"1069","Call Me Baby","Exo","Male","K-Pop",NA,19,88,0,"Romantic Gender Neutral",0.181818181818182
"1070","Gashina-Sunm","Sunmi","Female","K-Pop",NA,20,54,0,"Romantic Gender Neutral",0
"1071","Russian Roulette","Red Velvet","Female","K-Pop",NA,21,70,0,"Romantic Gender Neutral",0
"1072","Go Go","BTS","Male","K-Pop",NA,22,82,0,"Romantic Gender Neutral",0
"1073","The Eve","Exo","Male","K-Pop",NA,23,53,0,"Romantic Gender Neutral",0
"1074","Stay","BlackPink","Female","K-Pop",NA,24,57,0,"Romantic Gender Neutral",0.157894736842105
"1075","Dope","BTS","Male","K-Pop",NA,25,82,0,"Romantic Gender Neutral",0
"1076","Lotto","Exo","Male","K-Pop",NA,26,62,0,"Romantic Gender Neutral",0.0161290322580645
"1077","Red Flavor","Red Velvet","Female","K-Pop",NA,27,47,0,"Romantic Gender Neutral",0.0638297872340425
"1078","Very Very","I.O.I.","Female","K-Pop",NA,28,75,0,"Romantic Gender Neutral",0
"1079","Palette","IU","Female","K-Pop",NA,29,56,0,"Romantic Gender Neutral",0
"1080","Very Nice","Seventeen","Male","K-Pop",NA,30,70,0,"Romantic Gender Neutral",0
"1081","If You Need To, Keep Time on Me","Fleet Foxes","Male","Fresh Folk",NA,1,18,0,"Romantic Gender Neutral",0
"1082","Chateau","Angus & Julia Stone","Both","Fresh Folk",NA,2,52,0,"Romantic Gender Neutral",0
"1083","Minimum","Charlie Cunningham","Male","Fresh Folk",NA,3,36,0,"Romantic Gender Neutral",0
"1084","A Closeness","Dermot Kennedy","Male","Fresh Folk",NA,4,44,0,"Romantic Gender Neutral",0.136363636363636
"1085","Carry You","Novo Amor","Male","Fresh Folk",NA,5,23,0,"Romantic Gender Neutral",0
"1086","Colder Heavens","Blanco White","Male","Fresh Folk",NA,6,39,0,"Romantic Gender Neutral",0
"1087","The Meetings of the Waters","Fionn Regan","Male","Fresh Folk",NA,7,40,0,"Romantic Gender Neutral",0
"1088","Six Years","A Blaze of Feather","Male","Fresh Folk",NA,8,39,0,"Romantic Gender Neutral",0.102564102564103
"1089","You Would Have to Lose Your Mind","The Barr Brothers","Male","Fresh Folk",NA,9,34,0,"Romantic Gender Neutral",0.176470588235294
"1090","Silver Lining","Mnt. Joy","Male","Fresh Folk",NA,10,39,0,"Romantic Gender Neutral",0.0256410256410256
"1091","Lay It On Me","Vance Joy","Male","Fresh Folk",NA,11,33,0,"Romantic Gender Neutral",0.242424242424242
"1092","Never Break","Langhorne Slim","Male","Fresh Folk",NA,12,23,0,"Romantic Gender Neutral",0.0869565217391304
"1093","Horizon","Aldous Harding","Female","Fresh Folk",NA,13,42,0,"Romantic Gender Neutral",0.214285714285714
"1094","Bruises","Lewis Capaldi","Male","Fresh Folk",NA,14,41,0,"Romantic Gender Neutral",0.170731707317073
"1095","Call it Dreaming","Iron and Wine","Male","Fresh Folk",NA,15,31,0,"Romantic Gender Neutral",0
"1096","Little Lies","I'm with Her","Female","Fresh Folk",NA,16,41,0,"Romantic Gender Neutral",0.024390243902439
"1097","Only Lonely","The Ballroom Thieves","Both","Fresh Folk",NA,17,52,0,"Romantic Gender Neutral",0
"1098","Subterranean Homesick Bluse","Andrew Bird","Male","Fresh Folk",NA,18,71,0,"Romantic Gender Neutral",0
"1099","It's A Shame","First Aid Kit","Female","Fresh Folk",NA,19,40,0,"Romantic Gender Neutral",0
"1100","Coming Down the Mountain","Mipso","Female","Fresh Folk",NA,20,30,0,"Romantic Gender Neutral",0.0333333333333333
"1101","At the Purchaser's Option","Rhiannon Gibbons","Female","Fresh Folk",NA,21,44,0,"Romantic Gender Neutral",0.0227272727272727
"1102","My Arms Were Always Around You","Peter Bradley Adams","Male","Fresh Folk",NA,22,40,0,"Romantic Gender Neutral",0.325
"1103","Ballad of the Dying Man","Father John Misty","Male","Fresh Folk",NA,23,27,0,"Romantic Gender Neutral",0
"1104","Thirty","The Weather Station","Female","Fresh Folk",NA,24,66,0,"Romantic Gender Neutral",0.0454545454545455
"1105","Standing In The Doorway","Hiss Golden Messenger","Male","Fresh Folk",NA,25,36,0,"Romantic Gender Neutral",0.361111111111111
"1106","Motion Sickness","Phoebe Bridgers","Female","Fresh Folk",NA,26,35,0,"Romantic Gender Neutral",0
"1107","Nobody's Fool","Shakey Graves","Male","Fresh Folk",NA,27,27,0,"Romantic Gender Neutral",0
"1108","Blind in the Fray","The Last Revel","Male","Fresh Folk",NA,28,31,0,"Romantic Gender Neutral",0
"1109","If We Were Vampires","Jason Isbell","Male","Fresh Folk",NA,29,28,0,"Romantic Gender Neutral",0
"1110","Mind On Fire","Aisha Badru","Female","Fresh Folk",NA,30,22,0,"Romantic Gender Neutral",0
"1111","Old Church Choir","Zack Williams","Male","Christian Hits",NA,20,38,0,"Romantic Gender Neutral",0
